Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1871-01-01,4.44,0.26,0.4,12.46,5.32,85.1,4.98,7.67,
1871-02-01,4.5,0.26,0.4,12.84,5.32,83.7,4.84,7.44,
1871-03-01,4.61,0.26,0.4,13.03,5.33,84.49,4.77,7.33,
1871-04-01,4.74,0.26,0.4,12.56,5.33,90.16,4.95,7.61,
1871-05-01,4.86,0.26,0.4,12.27,5.33,94.6,5.06,7.79,
1871-06-01,4.82,0.26,0.4,12.08,5.34,95.29,5.14,7.91,
1871-07-01,4.73,0.26,0.4,12.08,5.34,93.51,5.14,7.91,
1871-08-01,4.79,0.26,0.4,11.89,5.34,96.22,5.22,8.03,
1871-09-01,4.84,0.26,0.4,12.18,5.35,94.94,5.1,7.85,
1871-10-01,4.59,0.26,0.4,12.37,5.35,88.65,5.02,7.73,
1871-11-01,4.64,0.26,0.4,12.37,5.35,89.62,5.02,7.73,
1871-12-01,4.74,0.26,0.4,12.65,5.36,89.48,4.91,7.55,
1872-01-01,4.86,0.26,0.4,12.65,5.36,91.75,4.97,7.6,
1872-02-01,4.88,0.27,0.41,12.65,5.38,92.13,5.03,7.65,
1872-03-01,5.04,0.27,0.41,12.84,5.4,93.74,5.02,7.58,
1872-04-01,5.18,0.27,0.41,13.13,5.42,94.25,4.97,7.46,
1872-05-01,5.18,0.28,0.41,13.13,5.43,94.25,5.03,7.51,
1872-06-01,5.13,0.28,0.41,13.03,5.45,94.02,5.13,7.61,
1872-07-01,5.1,0.28,0.42,12.84,5.47,94.86,5.27,7.77,
1872-08-01,5.04,0.29,0.42,12.94,5.49,93.05,5.29,7.75,
1872-09-01,4.95,0.29,0.42,13.03,5.51,90.72,5.31,7.74,
1872-10-01,4.97,0.29,0.42,12.75,5.52,93.13,5.5,7.96,
1872-11-01,4.95,0.3,0.43,13.13,5.54,90.06,5.4,7.78,
1872-12-01,5.07,0.3,0.43,12.94,5.56,93.6,5.54,7.94,
1873-01-01,5.11,0.3,0.43,12.94,5.58,94.34,5.58,7.98,
1873-02-01,5.15,0.3,0.43,13.23,5.57,93.03,5.51,7.86,
1873-03-01,5.11,0.31,0.44,13.23,5.56,92.31,5.55,7.9,
1873-04-01,5.04,0.31,0.44,13.23,5.55,91.04,5.6,7.95,
1873-05-01,5.05,0.31,0.44,12.94,5.54,93.23,5.77,8.17,
1873-06-01,4.98,0.32,0.45,12.56,5.53,94.73,5.99,8.46,
1873-07-01,4.97,0.32,0.45,12.56,5.53,94.54,6.04,8.51,
1873-08-01,4.97,0.32,0.45,12.56,5.52,94.54,6.09,8.56,
1873-09-01,4.59,0.32,0.45,12.56,5.51,87.31,6.13,8.61,
1873-10-01,4.19,0.33,0.46,12.27,5.5,81.55,6.33,8.86,
1873-11-01,4.04,0.33,0.46,11.89,5.49,81.15,6.58,9.19,
1873-12-01,4.42,0.33,0.46,12.18,5.48,86.7,6.47,9.02,
1874-01-01,4.66,0.33,0.46,12.37,5.47,90.01,6.37,8.88,
1874-02-01,4.8,0.33,0.46,12.37,5.44,92.71,6.37,8.88,
1874-03-01,4.73,0.33,0.46,12.37,5.4,91.36,6.37,8.88,
1874-04-01,4.6,0.33,0.46,12.18,5.37,90.23,6.47,9.02,
1874-05-01,4.48,0.33,0.46,12.08,5.34,88.57,6.52,9.09,
1874-06-01,4.46,0.33,0.46,11.8,5.3,90.31,6.68,9.31,
1874-07-01,4.46,0.33,0.46,11.89,5.27,89.59,6.63,9.24,
1874-08-01,4.47,0.33,0.46,11.8,5.24,90.51,6.68,9.31,
1874-09-01,4.54,0.33,0.46,11.8,5.2,91.93,6.68,9.31,
1874-10-01,4.53,0.33,0.46,11.61,5.17,93.23,6.79,9.47,
1874-11-01,4.57,0.33,0.46,11.51,5.14,94.83,6.85,9.55,
1874-12-01,4.54,0.33,0.46,11.51,5.1,94.21,6.85,9.55,
1875-01-01,4.54,0.33,0.45,11.51,5.07,94.21,6.8,9.37,
1875-02-01,4.53,0.33,0.44,11.51,5.03,94.0,6.74,9.2,
1875-03-01,4.59,0.32,0.43,11.51,4.99,95.25,6.69,9.03,
1875-04-01,4.65,0.32,0.43,11.61,4.95,95.7,6.59,8.78,
1875-05-01,4.47,0.32,0.42,11.32,4.91,94.32,6.7,8.83,
1875-06-01,4.38,0.32,0.41,11.13,4.87,94.0,6.76,8.8,
1875-07-01,4.39,0.31,0.4,11.13,4.83,94.21,6.71,8.62,
1875-08-01,4.41,0.31,0.39,11.23,4.79,93.84,6.6,8.37,
1875-09-01,4.37,0.31,0.39,11.13,4.75,93.78,6.6,8.26,
1875-10-01,4.3,0.3,0.38,11.13,4.71,92.28,6.55,8.08,
1875-11-01,4.37,0.3,0.37,11.04,4.67,94.59,6.55,7.97,
1875-12-01,4.37,0.3,0.36,10.94,4.63,95.41,6.55,7.86,
1876-01-01,4.46,0.3,0.35,10.85,4.59,98.23,6.61,7.78,
1876-02-01,4.52,0.3,0.35,10.85,4.58,99.55,6.61,7.64,
